"Room","Room Capacity","Building","Comments"
"P6A1",30000,"Điểm Trường 2",""
"P6A2",30000,"Điểm Trường 1",""
"P6A3",30000,"Điểm Trường 1",""
"P6A4",30000,"Điểm Trường 1",""
"P6A5",30000,"Điểm Trường 1",""
"P6A6",30000,"Điểm Trường 1",""
"P6A7",30000,"Điểm Trường 1",""
"P6A8",30000,"Điểm Trường 1",""
"P6B1",30000,"Điểm Trường 1",""
"P6B2",30000,"Điểm Trường 1",""
"P6B3",30000,"Điểm Trường 1",""
"P7A1",30000,"Điểm Trường 2",""
"P7A2",30000,"Điểm Trường 2",""
"P7A3",30000,"Điểm Trường 1",""
"P7A4",30000,"Điểm Trường 1",""
"P7A5",30000,"Điểm Trường 1",""
"P7A6",30000,"Điểm Trường 1",""
"P7A7",30000,"Điểm Trường 1",""
"P7B1",30000,"Điểm Trường 1",""
"P7B2",30000,"Điểm Trường 1",""
"P7B3",30000,"Điểm Trường 1",""
"P8A1",30000,"Điểm Trường 2",""
"P8A2",30000,"Điểm Trường 1",""
"P8A3",30000,"Điểm Trường 1",""
"P8A4",30000,"Điểm Trường 1",""
"P8A5",30000,"Điểm Trường 1",""
"P8A7",30000,"Điểm Trường 1",""
"P8B1",30000,"Điểm Trường 1",""
"P8B2",30000,"Điểm Trường 1",""
"P8B3",30000,"Điểm Trường 1",""
"P9A1",30000,"Điểm Trường 2",""
"P9A2",30000,"Điểm Trường 1",""
"P9A3",30000,"Điểm Trường 1",""
"P9A4",30000,"Điểm Trường 1",""
"P9A5",30000,"Điểm Trường 1",""
"P9A6",30000,"Điểm Trường 1",""
"P9A7",30000,"Điểm Trường 1",""
"P9A8",30000,"Điểm Trường 1",""
"P9B1",30000,"Điểm Trường 1",""
"P9B2",30000,"Điểm Trường 1",""
"P9B3",30000,"Điểm Trường 1",""
"PTC6A1",30000,"Điểm Trường 2",""
"PTC6A2",30000,"Điểm Trường 1",""
"PTC6A3",30000,"Điểm Trường 1",""
"PTC6A4",30000,"Điểm Trường 1",""
"PTC6A5",30000,"Điểm Trường 1",""
"PTC6A6",30000,"Điểm Trường 1",""
"PTC6A7",30000,"Điểm Trường 1",""
"PTC6A8",30000,"Điểm Trường 1",""
"PTC6B1",30000,"Điểm Trường 1",""
"PTC6B2",30000,"Điểm Trường 1",""
"PTC6B3",30000,"Điểm Trường 1",""
"PTC7A1",30000,"Điểm Trường 2",""
"PTC7A2",30000,"Điểm Trường 2",""
"PTC7A3",30000,"Điểm Trường 1",""
"PTC7A4",30000,"Điểm Trường 1",""
"PTC7A5",30000,"Điểm Trường 1",""
"PTC7A6",30000,"Điểm Trường 1",""
"PTC7A7",30000,"Điểm Trường 1",""
"PTC7A8",30000,"Điểm Trường 1",""
"PTC7B1",30000,"Điểm Trường 1",""
"PTC7B2",30000,"Điểm Trường 1",""
"PTC7B3",30000,"Điểm Trường 1",""
"PTC8A1",30000,"Điểm Trường 2",""
"PTC8A2",30000,"Điểm Trường 1",""
"PTC8A3",30000,"Điểm Trường 1",""
"PTC8A4",30000,"Điểm Trường 1",""
"PTC8A5",30000,"Điểm Trường 1",""
"PTC8A6",30000,"Điểm Trường 1",""
"PTC8A7",30000,"Điểm Trường 1",""
"PTC8B1",30000,"Điểm Trường 1",""
"PTC8B2",30000,"Điểm Trường 1",""
"PTC8B3",30000,"Điểm Trường 1",""
"PTC9A1",30000,"Điểm Trường 2",""
"PTC9A2",30000,"Điểm Trường 1",""
"PTC9A3",30000,"Điểm Trường 1",""
"PTC9A4",30000,"Điểm Trường 1",""
"PTC9A5",30000,"Điểm Trường 1",""
"PTC9A6",30000,"Điểm Trường 1",""
"PTC9B1",30000,"Điểm Trường 1",""
"PTC9B2",30000,"Điểm Trường 1",""
"PTC9B3",30000,"Điểm Trường 1",""
"P8A6",30000,"Điểm Trường 2",""
"P7A8",30000,"Điểm Trường 1",""
