"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup","Comments"
"Khối 6",0,,,,,""
"Khối 6",0,"6A1",0,,,""
"Khối 6",0,"6A2",0,,,""
"Khối 6",0,"6A3",0,,,""
"Khối 6",0,"6A4",0,,,""
"Khối 6",0,"6A5",0,,,""
"Khối 6",0,"6A6",0,,,""
"Khối 6",0,"6B1",0,,,""
"Khối 6",0,"6B2",0,,,""
"Khối 6",0,"6B3",0,,,""
"Khối 7",0,,,,,""
"Khối 7",0,"7A1",0,,,""
"Khối 7",0,"7A2",0,,,""
"Khối 7",0,"7A3",0,,,""
"Khối 7",0,"7A4",0,,,""
"Khối 7",0,"7A5",0,,,""
"Khối 7",0,"7A6",0,,,""
"Khối 7",0,"7A7",0,,,""
"Khối 7",0,"7A8",0,,,""
"Khối 7",0,"7B1",0,,,""
"Khối 7",0,"7B2",0,,,""
"Khối 7",0,"7B3",0,,,""
"Khối 8",0,,,,,""
"Khối 8",0,"8A1",0,,,""
"Khối 8",0,"8A2",0,,,""
"Khối 8",0,"8A3",0,,,""
"Khối 8",0,"8A4",0,,,""
"Khối 8",0,"8A5",0,,,""
"Khối 8",0,"8A6",0,,,""
"Khối 8",0,"8A7",0,,,""
"Khối 8",0,"8B1",0,,,""
"Khối 8",0,"8B2",0,,,""
"Khối 8",0,"8B3",0,,,""
"Khối 9",0,,,,,""
"Khối 9",0,"9A1",0,,,""
"Khối 9",0,"9A2",0,,,""
"Khối 9",0,"9A3",0,,,""
"Khối 9",0,"9A4",0,,,""
"Khối 9",0,"9B1",0,,,""
"Khối 9",0,"9B2",0,,,""
"Khối 9",0,"9B3",0,,,""
"Khối 6.TC",0,,,,,""
"Khối 6.TC",0,"TC.6A1",0,,,""
"Khối 6.TC",0,"TC.6A2",0,,,""
"Khối 6.TC",0,"TC.6A3",0,,,""
"Khối 6.TC",0,"TC.6A4",0,,,""
"Khối 6.TC",0,"TC.6A5",0,,,""
"Khối 6.TC",0,"TC.6A6",0,,,""
"Khối 6.TC",0,"TC.6A7",0,,,""
"Khối 6.TC",0,"TC.6A8",0,,,""
"Khối 6.TC",0,"TC.6B1",0,,,""
"Khối 6.TC",0,"TC.6B2",0,,,""
"Khối 6.TC",0,"TC.6B3",0,,,""
"Khối 7.TC",0,,,,,""
"Khối 7.TC",0,"TC.7A1",0,,,""
"Khối 7.TC",0,"TC.7A2",0,,,""
"Khối 7.TC",0,"TC.7A3",0,,,""
"Khối 7.TC",0,"TC.7A4",0,,,""
"Khối 7.TC",0,"TC.7A5",0,,,""
"Khối 7.TC",0,"TC.7A6",0,,,""
"Khối 7.TC",0,"TC.7A7",0,,,""
"Khối 7.TC",0,"TC.7A8",0,,,""
"Khối 7.TC",0,"TC.7B1",0,,,""
"Khối 7.TC",0,"TC.7B2",0,,,""
"Khối 7.TC",0,"TC.7B3",0,,,""
"Khối 8.TC",0,,,,,""
"Khối 8.TC",0,"TC.8A1",0,,,""
"Khối 8.TC",0,"TC.8A2",0,,,""
"Khối 8.TC",0,"TC.8A3",0,,,""
"Khối 8.TC",0,"TC.8A4",0,,,""
"Khối 8.TC",0,"TC.8A5",0,,,""
"Khối 8.TC",0,"TC.8B1",0,,,""
"Khối 8.TC",0,"TC.8B2",0,,,""
"Khối 8.TC",0,"TC.8B3",0,,,""
"Khối 8.TC",0,"TC.8A6",0,,,""
"Khối 8.TC",0,"TC.8A7",0,,,""
"Khối 9.TC",0,,,,,""
"Khối 9.TC",0,"TC.9A1",0,,,""
"Khối 9.TC",0,"TC.9A2",0,,,""
"Khối 9.TC",0,"TC.9A3",0,,,""
"Khối 9.TC",0,"TC.9A4",0,,,""
"Khối 9.TC",0,"TC.9A5",0,,,""
"Khối 9.TC",0,"TC.9A6",0,,,""
"Khối 9.TC",0,"TC.9A7",0,,,""
"Khối 9.TC",0,"TC.9A8",0,,,""
"Khối 9.TC",0,"TC.9B1",0,,,""
"Khối 9.TC",0,"TC.9B2",0,,,""
"Khối 9.TC",0,"TC.9B3",0,,,""
