"Room","Room Capacity","Building","Comments"
"P6A1",30000,"Điểm Trường 2",""
"P6A2",30000,"Điểm Trường 1",""
"P6A3",30000,"Điểm Trường 1",""
"P6A4",30000,"Điểm Trường 1",""
"P6A5",30000,"Điểm Trường 1",""
"P6A6",30000,"Điểm Trường 1",""
"P6A7",30000,"Điểm Trường 1",""
"P6B1",30000,"Điểm Trường 1",""
"P6B2",30000,"Điểm Trường 1",""
"P6B3",30000,"Điểm Trường 1",""
"P7A1",30000,"Điểm Trường 2",""
"P7A2",30000,"Điểm Trường 1",""
"P7A3",30000,"Điểm Trường 1",""
"P7A4",30000,"Điểm Trường 1",""
"P7A5",30000,"Điểm Trường 1",""
"P7A6",30000,"Điểm Trường 1",""
"P7B1",30000,"Điểm Trường 1",""
"P7B2",30000,"Điểm Trường 1",""
"P7B3",30000,"Điểm Trường 1",""
"P8A1",30000,"Điểm Trường 2",""
"P8A2",30000,"Điểm Trường 2",""
"P8A3",30000,"Điểm Trường 1",""
"P8A4",30000,"Điểm Trường 1",""
"P8A5",30000,"Điểm Trường 1",""
"P8A6",30000,"Điểm Trường 2",""
"P8A7",30000,"Điểm Trường 1",""
"P8A8",30000,"Điểm Trường 2",""
"P8B1",30000,"Điểm Trường 1",""
"P8B2",30000,"Điểm Trường 1",""
"P8B3",30000,"Điểm Trường 1",""
"P9A1",30000,"Điểm Trường 2",""
"P9A2",30000,"Điểm Trường 1",""
"P9A3",30000,"Điểm Trường 1",""
"P9A4",30000,"Điểm Trường 1",""
"P9A5",30000,"Điểm Trường 1",""
"P9A6",30000,"Điểm Trường 1",""
"P9A7",30000,"Điểm Trường 1",""
"P9B1",30000,"Điểm Trường 1",""
"P9B2",30000,"Điểm Trường 1",""
"P9B3",30000,"Điểm Trường 1",""
