"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup","Comments"
"Khối 6",0,,,,,""
"Khối 6",0,"6A1",0,,,""
"Khối 6",0,"6A2",0,,,""
"Khối 6",0,"6A3",0,,,""
"Khối 6",0,"6A4",0,,,""
"Khối 6",0,"6A5",0,,,""
"Khối 6",0,"6A6",0,,,""
"Khối 6",0,"6A7",0,,,""
"Khối 6",0,"6B1",0,,,""
"Khối 6",0,"6B2",0,,,""
"Khối 6",0,"6B3",0,,,""
"Khối 7",0,,,,,""
"Khối 7",0,"7A1",0,,,""
"Khối 7",0,"7A2",0,,,""
"Khối 7",0,"7A3",0,,,""
"Khối 7",0,"7A4",0,,,""
"Khối 7",0,"7A5",0,,,""
"Khối 7",0,"7A6",0,,,""
"Khối 7",0,"7B1",0,,,""
"Khối 7",0,"7B2",0,,,""
"Khối 7",0,"7B3",0,,,""
"Khối 8",0,,,,,""
"Khối 8",0,"8A1",0,,,""
"Khối 8",0,"8A2",0,,,""
"Khối 8",0,"8A3",0,,,""
"Khối 8",0,"8A4",0,,,""
"Khối 8",0,"8A5",0,,,""
"Khối 8",0,"8A6",0,,,""
"Khối 8",0,"8A7",0,,,""
"Khối 8",0,"8A8",0,,,""
"Khối 8",0,"8B1",0,,,""
"Khối 8",0,"8B2",0,,,""
"Khối 8",0,"8B3",0,,,""
"Khối 9",0,,,,,""
"Khối 9",0,"9A1",0,,,""
"Khối 9",0,"9A2",0,,,""
"Khối 9",0,"9A3",0,,,""
"Khối 9",0,"9A4",0,,,""
"Khối 9",0,"9A5",0,,,""
"Khối 9",0,"9A6",0,,,""
"Khối 9",0,"9A7",0,,,""
"Khối 9",0,"9B1",0,,,""
"Khối 9",0,"9B2",0,,,""
"Khối 9",0,"9B3",0,,,""
